Suburb House  Price - 2021,,,,,,,,,,,,,,,,
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,prelim 2022,change,change,Growth PA,
locality,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,2020-2021,2011-2021,,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
EAST WARBURTON,332500,282500,289500,275000,305000,369000,392500,428500,458000,532500,645000,523000,21,94,6.9,
EASTWOOD,334000,332000,335000,342000,335000,357500,380000,385000,410000,415000,535000,552500,29,60,4.8,
ECHUCA,278000,270000,285000,285000,300000,310000,320000,365000,370000,412000,468000,526000,14,68,5.3,
EDENHOPE,100000,106000,160000,130000,115000,144500,160000,147000,169500,143000,202500,161500,42,102,7.3,
EDITHVALE,590000,625000,615000,670000,766000,930000,1058500,1047500,950000,1029500,1240000,1346500,20,110,7.7,
EILDON,180000,185000,210000,205000,208500,210000,225000,258000,251500,285000,350000,480000,23,94,6.9,
ELLIMINYT,260000,323000,332000,313000,318000,364000,366500,385000,445000,470000,511000,645000,9,97,7.0,
ELMORE,188000,160000,184000,176000,200000,220000,162000,227500,235000,245000,332500,415000,36,77,5.9,
ELSTERNWICK,1200000,1155000,1365000,1315000,1621000,1723500,2087500,1970000,1825000,2081000,2175000,2234000,5,81,6.1,
ELTHAM,625000,590500,631500,670000,750000,820000,930000,942500,928000,995000,1225500,1290000,23,96,7.0,
ELTHAM NORTH,627000,580500,622000,680000,758000,850500,900000,930500,930000,1050000,1237500,1042000,18,97,7.0,
ELWOOD,1150000,1287500,1350000,1412500,1631000,1830000,1900000,2140000,1950000,2110000,2210000,2340000,5,92,6.8,
EMERALD,415000,410500,440000,449500,502000,545000,660500,730000,660000,730000,882000,930000,21,113,7.8,
ENDEAVOUR HILLS,400000,390000,400000,432000,496500,550000,630500,651000,620000,672000,750000,810000,12,88,6.5,
EPPING,385000,365000,366500,386500,400000,455000,556000,600000,546000,577000,652500,700000,13,69,5.4,
EPSOM,325000,315000,322500,342500,340000,340000,352000,357000,371500,431000,527500,600000,22,62,5.0,
ESSENDON,895000,920000,870000,942000,1228000,1365000,1400000,1682000,1450000,1520000,1717500,1783000,13,92,6.7,
ESSENDON NORTH,875500,686000,725000,840000,808000,875000,1100000,1145000,1100000,1260000,1387500,1335000,10,58,4.7,
ESSENDON WEST,742500,720000,720000,785000,920000,962500,1296000,1221000,1180000,1275000,1317500,1165000,3,77,5.9,
EUMEMMERRING,350000,327500,353000,365000,408500,450500,517500,622000,540000,556500,646000,775000,16,85,6.3,
EUREKA,257500,237000,243500,259000,247500,275000,251500,315500,360000,412500,430000,535000,4,67,5.3,
EUROA,185000,215000,208000,230000,235500,265000,239000,270000,309000,360000,407500,387500,13,120,8.2,
EYNESBURY,360000,400000,390500,390000,403500,459000,484000,550000,555000,600000,676500,715000,13,88,6.5,
FAIRFIELD,800000,825000,915000,945000,1111500,1303000,1496000,1316000,1295000,1395500,1700000,1540000,22,113,7.8,
FAIRHAVEN,715000,990000,785000,955000,897500,1052500,880000,1020000,1395000,1478000,1860000,2722000,26,160,10.0,
FAWKNER,439000,406500,410000,444000,510000,587500,705000,720000,665000,715000,815000,815000,14,86,6.4,
FERNTREE GULLY,430500,429500,451000,505000,599000,660000,749000,732500,692000,750000,865000,900000,15,101,7.2,
FERNY CREEK,525000,456000,497500,492500,621000,735000,798000,830000,800000,908000,1120000,1022500,23,113,7.9,
FINGAL,700000,600000,677500,730000,857500,840000,1000000,1350000,1240000,1312500,1807500,1667500,38,158,10.0,
FITZROY,880000,918500,945000,1130000,1297500,1600000,1625000,1450000,1400000,1400000,1477500,1542500,6,68,5.3,
FITZROY NORTH,855000,871000,976000,1014000,1188000,1279000,1450000,1475000,1385000,1600000,1720000,1760000,8,101,7.2,
FIVEWAYS,290000,343500,355000,315000,380000,417500,525000,542500,485000,530000,751500,949500,42,159,10.0,
FLEMINGTON,655000,652000,735500,730000,830000,918000,1100000,926500,1000000,1035000,1251000,1430000,21,91,6.7,
FLINDERS,822000,710000,765000,808000,839000,1225000,1525000,1697500,1670000,2085000,2667500,3845000,28,225,12.5,
FLORA HILL,285000,309000,310000,323500,321000,325000,335000,352500,370000,395000,481000,550000,22,69,5.4,
FLOWERDALE,286500,250000,292500,170000,255000,237500,310000,390000,287500,400000,475000,480000,19,66,5.2,
FOOTSCRAY,568000,568000,600000,645000,690500,775000,881000,899000,812000,880000,975000,996000,11,72,5.6,
FOREST HILL,560000,565000,650500,721000,892000,933500,1060000,935000,900000,986000,1208500,1245000,23,116,8.0,
FOSTER,265000,269500,298000,315000,325000,315000,320000,333500,330000,387500,450000,495000,16,70,5.4,
FRANKSTON,357000,340000,350000,372000,426000,474000,600000,605000,581000,621500,750000,779000,21,110,7.7,
FRANKSTON NORTH,277000,245000,255000,269000,297000,352000,470000,502000,423000,450000,580000,615000,29,109,7.7,
FRANKSTON SOUTH,533500,510000,535000,560000,620000,690000,815500,855000,817500,860000,1150000,1076000,34,116,8.0,
FRASER RISE,-,634500,455000,490000,465000,483000,541000,615000,595000,625000,677500,706000,8,0,NA,
FYANSFORD,425000,310000,386500,478000,688000,592500,610000,650000,660000,800500,832500,985000,4,96,7.0,
GARDEN CITY,912500,965000,1055000,1055000,1320000,1440000,1650000,1507500,1375000,1602500,2074500,2015000,29,127,8.6,
GARDENVALE,1133000,956000,1150000,1180000,1348000,1857500,1880000,1830000,1740000,1900000,2120000,NA,12,87,6.5,
GARFIELD,345000,335000,405000,355000,370000,405000,414500,540000,518000,590000,715000,795000,21,107,7.6,
GEELONG,475000,463000,500000,512000,607500,590000,735000,750000,720000,883500,950000,850000,8,100,7.2,
GEELONG WEST,405000,410000,440000,469000,490000,543500,654000,713000,675000,749500,885000,1100000,18,119,8.1,
GEMBROOK,385000,349000,344000,400000,440000,525000,565000,610000,650000,680000,789500,820000,16,105,7.4,
GISBORNE,430000,429500,496000,510000,550000,635000,655000,770000,730000,810000,900000,1125000,11,109,7.7,
GLADSTONE PARK,385000,380000,392500,400000,460000,525000,645000,630000,636500,640000,728000,745000,14,89,6.6,
GLEN HUNTLY,805000,792500,977500,1135000,1350000,1330000,1415000,1253000,1440000,1395000,2002500,824000,44,149,9.5,
GLEN IRIS,1200000,1200000,1310000,1500000,1800000,1935000,2025000,1927500,1967000,2130000,2470000,2150000,16,106,7.5,
GLEN WAVERLEY,718000,720000,815000,960000,1212500,1221000,1337500,1300000,1287500,1302500,1554500,1650000,19,117,8.0,
GLENGARRY,231000,232000,232500,283000,286000,277500,310000,300000,324000,388000,490000,615000,26,112,7.8,
GLENROWAN,290000,246000,230000,239000,225000,272500,300000,265000,372500,375000,500000,516000,33,72,5.6,
GLENROY,457500,437500,454000,500000,560000,600000,730000,725000,700000,740000,835500,815000,13,83,6.2,
GOLDEN BEACH,229000,206000,169500,172500,180000,212500,209500,225500,220000,270000,325000,375000,20,42,3.6,
GOLDEN POINT (BALLARAT),258000,250000,265000,265000,259500,295000,305000,347500,370000,430000,520000,557500,21,102,7.3,
GOLDEN SQUARE,270000,285000,295000,305000,306000,315000,320000,334000,340000,377500,468000,530000,24,73,5.7,
GORDON,300000,229500,278500,303000,290000,330000,404000,402500,495000,618000,632500,1022500,2,111,7.7,
GOUGHS BAY,180000,220000,257500,247500,265000,235000,257500,345500,299500,360000,499500,705000,39,177,10.7,
GOWANBRAE,555500,467500,616500,557500,573000,619000,790000,727500,700500,739000,940000,1010000,27,69,5.4,
GRANTVILLE,235000,245000,215000,255000,250000,272500,339500,402500,397500,440000,537500,570500,22,129,8.6,
GREEN LAKE,247500,250000,262500,254500,281500,305000,280000,270000,290000,360000,375000,440000,4,52,4.2,
GREENSBOROUGH,519000,491000,534000,574000,635000,717000,830000,815000,798000,850000,1001000,980000,18,93,6.8,
GREENVALE,545000,537000,550000,539500,500000,510000,650000,720000,715000,720000,820000,820000,14,50,4.2,
GROVEDALE,345000,340000,352000,362000,370000,400000,432000,495000,505000,550000,655000,698500,19,90,6.6,
HADFIELD,486000,430000,461500,500000,550000,624500,740500,741500,730000,745000,890000,920000,19,83,6.2,
HALLAM,360000,360000,362500,380000,424000,458500,580000,630000,550000,600000,700000,720000,17,94,6.9,
HALLS GAP,255000,233500,184500,224500,245000,272500,280000,355000,320000,350000,468000,570000,34,84,6.3,
HAMILTON,217500,189000,192500,200000,200000,217000,190000,225000,209500,255000,339000,360000,33,56,4.5,
HAMLYN HEIGHTS,348000,339500,363500,366500,382500,415000,500000,545000,540000,562000,710000,804000,26,104,7.4,
HAMPTON,1282500,1200000,1270000,1340000,1650000,1800000,2020000,1905000,1900000,2000000,2420000,2020000,21,89,6.6,
HAMPTON EAST,747500,732500,770000,862500,1020000,1200000,1340000,1230000,1211500,1290500,1527500,1500000,18,104,7.4,
HAMPTON PARK,335000,320000,330000,337500,370000,410000,505000,550000,502000,538000,620000,660000,15,85,6.3,
HARCOURT,268000,287500,309000,358000,295000,377500,385000,375000,420000,527500,604000,615000,15,125,8.5,
HARKNESS,336500,329000,330000,340000,350000,360000,420000,485000,475000,490000,535000,590000,9,59,4.7,
HASTINGS,350000,347000,345000,368000,365000,400000,507500,519500,506000,562000,653000,733000,16,87,6.4,
HASTINGS WEST,272000,282500,280000,277000,289500,338000,425000,480000,430000,487500,590000,675000,21,117,8.1,
HAWTHORN,1330000,1405000,1575000,1606500,1916500,2245000,2650000,2506500,2200000,2500000,2830000,2485000,13,113,7.8,
HAWTHORN EAST,1250500,1300000,1247500,1554000,1850000,1890000,2350000,2221500,2087500,2383000,2275000,1791500,-5,82,6.2,
HEALESVILLE,380000,380000,385500,400000,447500,457000,550000,601000,580000,602500,750000,800000,24,97,7.0,
HEATHCOTE,200000,220000,227500,260000,240000,268500,275000,310000,335000,365000,390000,500000,7,95,6.9,
HEATHERTON,632000,630000,630000,712000,771000,845000,981000,935000,965000,964000,1145000,1222500,19,81,6.1,
HEATHMONT,509000,525000,589000,638000,760000,789000,925000,932000,873000,930000,1091500,1117500,17,114,7.9,
HEIDELBERG,770000,750000,772500,840500,1060000,1150000,1280000,1114000,1107500,1283000,1465000,1565000,14,90,6.6,
HEIDELBERG HEIGHTS,536500,500000,536500,555000,676500,750000,843000,820000,790000,803000,1000000,952500,25,86,6.4,
HEIDELBERG WEST,420000,400000,425500,461000,580000,630000,730000,700000,670000,719500,804500,780000,12,91,6.7,
HEPBURN,310000,275000,291000,330000,395000,375000,440000,425000,452500,535000,695000,675000,30,124,8.4,
HEPBURN SPRINGS,308000,310000,340000,350000,380000,414000,515000,490000,595000,570000,825000,850000,45,168,10.4,
HERNE HILL,325000,321000,350000,357000,368500,402000,490000,550000,534000,600000,738000,785000,23,127,8.5,
HEYFIELD,175000,171500,200000,180000,182500,195000,178500,193000,195000,230000,330000,435000,43,89,6.5,
HEYWOOD,167500,153000,142000,150000,173000,160000,164000,166000,178000,185000,240000,265000,30,43,3.7,
HIGHETT,711000,682500,750000,850000,992500,1175000,1318500,1275000,1234000,1325000,1585500,1560000,20,123,8.4,
HIGHTON,450000,460000,477500,510000,505000,555000,622500,681000,690000,744000,888500,975000,19,97,7.0,
HILLSIDE (MELTON),415000,425000,430000,440000,470000,525500,620000,647000,641000,680000,730000,785000,7,76,5.8,
HOPETOUN,55500,81000,88000,95500,75000,80000,92000,86000,66000,150000,157000,214500,5,183,11.0,
HOPPERS CROSSING,328000,312500,321500,340000,365500,415000,516000,552000,526500,550000,590000,620000,7,80,6.0,
HORSHAM,210000,220000,215000,215000,240000,245000,262500,255000,269000,260000,345000,380000,33,64,5.1,
HUGHESDALE,740000,741500,820000,856000,1165000,1222500,1407000,1260000,1150500,1300000,1507500,1625000,16,104,7.4,
HUNTINGDALE,610000,590000,659000,728000,835000,924500,1132000,1010000,914000,1090000,1299500,1225000,19,113,7.9,
HUNTLY,250000,215000,337500,325000,355000,340000,335000,357500,367500,388000,486000,548000,25,94,6.9,
HURSTBRIDGE,457500,445000,482000,482000,547500,614500,714000,731000,700000,775000,900000,1390000,16,97,7.0,
INDENTED HEAD,347000,430000,390000,385000,382500,395000,455000,575500,606000,590000,750000,875000,27,116,8.0,
INGLEWOOD,208500,186500,160000,145000,200000,152500,182500,180000,185000,214000,320000,425500,50,53,4.4,
INVERLOCH,450000,420000,431000,440000,425000,442500,495000,598000,590000,665000,890500,927500,34,98,7.1,
INVERMAY PARK,363500,370000,378000,387000,405000,377500,391000,465000,475000,485000,680000,725000,40,87,6.5,
IRONBARK,287000,280000,277000,280000,292500,365000,280000,320000,304000,438500,523000,530000,19,82,6.2,
IRYMPLE,228000,215000,248000,228500,268000,257500,291000,310000,386500,354000,425000,519000,20,86,6.4,
IVANHOE,977500,907500,1100000,1206000,1125000,1400000,1547500,1600000,1590000,1630000,1830000,1927500,12,87,6.5,
IVANHOE EAST,1300000,1200000,1310000,1513000,1542500,1764500,1975000,1914000,1775000,2055000,2207500,2670000,7,70,5.4,
JACANA,345000,310500,334000,342500,375000,423000,571500,555000,512500,555000,626000,637500,13,81,6.1,
JACKASS FLAT,255000,357500,287500,360000,350500,345500,299000,310000,331500,401000,460000,542500,15,80,6.1,
JAMIESON,215000,267500,205000,210000,258500,220000,266500,265000,311500,345000,410000,686000,19,91,6.7,
JAN JUC,587500,570000,555000,595000,615000,716000,850000,905000,870000,964000,1333500,1317500,38,127,8.5,
JEERALANG NORTH,129000,159500,145500,187500,175000,140000,248000,170000,235000,240000,282000,335500,18,119,8.1,
JEPARIT,101500,59000,80500,63000,89000,124000,66500,77000,81000,110000,129000,145000,17,27,2.4,
JUNCTION VILLAGE,287500,300000,312000,320000,370000,389000,436000,509000,483500,515000,605000,NA,17,110,7.7,
JUNORTOUN,425000,465000,490000,508500,417500,490000,512500,506500,530000,598000,682000,910500,14,60,4.8,
KALIMNA,312500,281500,230000,285000,300000,270000,276500,326500,292500,350000,469000,589000,34,50,4.1,
KALKALLO,375000,272500,450000,450000,180000,432500,529500,548000,538000,555000,613500,635000,11,64,5.0,
KALLISTA,482000,452500,425000,465000,523000,567500,676000,737500,700000,715000,910000,1025000,27,89,6.6,
KALORAMA,440000,420000,442500,451000,496000,533000,670000,686500,645000,697500,822000,1126000,18,87,6.4,
KANGAROO FLAT,270000,284500,292500,300000,303000,300000,310000,325000,340000,380000,465000,545000,22,72,5.6,
KANGAROO GROUND SOUTH,606500,631000,615000,655000,650000,670000,853500,930000,815500,970000,1217000,1150000,25,101,7.2,
KANIVA,90000,87000,75000,87500,100000,120000,157500,164000,169500,115000,174000,126000,51,93,6.8,
KEALBA,372500,375000,370000,390000,400000,470000,595000,612000,596000,600000,655000,755000,9,76,5.8,
KEILOR,570000,592500,572500,633000,703000,805000,845000,815000,836500,885000,1066000,953000,20,87,6.5,
KEILOR DOWNS,405000,400000,403500,429000,496500,562000,670000,660000,630000,660000,775000,720000,17,91,6.7,
KEILOR EAST,587500,527500,560000,599000,651000,720000,843000,830000,835000,842000,999000,1032500,19,70,5.5,
KEILOR LODGE,520000,480000,490000,500000,555500,607500,760000,715000,740000,757500,842500,820000,11,62,4.9,
KEILOR PARK,501000,480000,455000,512500,565000,650000,741000,770000,704000,735000,820500,950000,12,64,5.1,
KENNINGTON,306000,300000,351500,345000,334000,355000,372000,383500,374000,428500,550000,595000,28,80,6.0,
KENSINGTON,650000,650000,690000,737500,823500,908000,1019000,1020000,978000,1106500,1165000,1219000,5,79,6.0,
KERANG,150000,150000,152000,145000,152000,167000,160000,177000,170000,198500,238000,267500,20,59,4.7,
KEW,1650000,1500000,1751000,1950000,2080000,2207500,2320000,2385000,2345000,2253000,2752500,2300000,22,67,5.3,
KEW EAST,1056000,1005000,1210000,1314000,1600000,1655000,1876000,1800000,1837000,1785000,1990000,NA,11,88,6.5,
KEW NORTH,1071000,995500,1260000,1301000,1665000,1827500,1880000,1767500,1833000,1840000,2050000,2169000,11,91,6.7,
KEYSBOROUGH,430000,425000,435000,456500,559500,650000,730000,745000,740000,762500,916000,935000,20,113,7.9,
KIALLA,360000,318500,360000,365000,367500,374000,390000,418000,450000,482500,544000,622500,13,51,4.2,
KILCUNDA,330000,350000,375000,320000,400000,480000,504000,496000,533000,702500,870000,810000,24,164,10.2,
KILLARA (WODONGA),-,116500,351000,346000,360000,425000,400000,420000,453500,447500,560000,632000,25,0,NA,
KILMORE,325000,312000,327500,319000,336500,333000,387500,440000,435000,477000,549000,617000,15,69,5.4,
KILSYTH,430000,415000,435000,460000,548500,620000,698500,685500,645000,677500,780500,855500,15,82,6.1,
KILSYTH SOUTH,520000,501000,542500,575000,676000,738000,845000,826000,780500,870000,977500,1185000,12,88,6.5,
KINGLAKE,306500,310000,330000,318000,340000,346000,458000,480000,555000,600000,640000,797500,7,109,7.6,
KINGS PARK,330000,324000,315000,325000,355000,415000,532500,550000,510000,550000,600000,650000,9,82,6.2,
KINGSBURY,475000,437500,470000,502500,560000,610000,731000,730000,660000,732500,847000,752500,16,78,6.0,
KINGSVILLE,599500,597500,635000,703500,785000,925000,1020000,990000,1010000,970000,1225000,1180000,26,104,7.4,
KNOXFIELD,480000,465000,500000,580000,681000,740000,870000,815000,760000,810000,980000,1040000,21,104,7.4,
KOO WEE RUP,334500,320000,315000,335000,345000,400000,450500,508500,550000,540000,610000,700000,13,82,6.2,
KOONDROOK,150000,165000,147500,155000,198500,165000,247500,268000,212500,254000,322500,237000,27,115,8.0,
KOOYONG,1510500,1820000,1417500,2900000,3400000,2762500,3950000,2630000,3585000,3500000,3150000,NA,-10,109,7.6,
KOROIT,266000,290000,275000,300000,296000,294000,325000,352000,347500,390000,495000,524000,27,86,6.4,
KORUMBURRA,237500,240000,236000,222500,262500,257500,292000,317500,319500,391000,480000,525000,23,102,7.3,
KURUNJANG,300000,281000,287000,280000,289500,310000,370000,435000,420000,432000,486000,552500,13,62,4.9,
KYABRAM,200000,217500,237000,235000,240000,234000,239000,261000,263000,280000,319500,395000,14,60,4.8,
KYNETON,370000,370000,369000,400000,425500,455000,495000,550000,595000,614000,765000,890000,25,107,7.5,
LAKE BOGA,212500,200000,200000,143500,245000,222500,182500,232500,239000,230000,315000,343000,37,48,4.0,
LAKE BUNGA,288000,330000,197500,162500,270000,270000,392500,380000,300000,350000,600000,829500,71,108,7.6,
LAKE GARDENS,400500,385000,445000,445000,461000,485000,461500,575000,552500,607500,692500,755000,14,73,5.6,
LAKE TYERS BEACH,285000,274000,270000,354000,330000,268500,362500,300000,357500,375000,505000,830000,35,77,5.9,
LAKE WENDOUREE,627500,545000,634000,650000,685000,700000,790000,775000,855000,1000000,1250000,1032500,25,99,7.1,
LAKES ENTRANCE,300000,250000,269500,254000,255500,280000,281500,328000,300000,350000,420000,540000,20,40,3.4,
LALOR,380000,360500,365000,385000,445000,499500,625500,625000,590000,623000,700000,726000,12,84,6.3,
LANCEFIELD,321000,315000,377500,362000,360000,360000,416000,456000,500000,540000,685000,625000,27,114,7.9,
LANG LANG,310000,277500,285000,295000,316500,355000,390000,475000,495000,540000,657000,712500,22,112,7.8,
LANGWARRIN,387500,375000,385000,420000,450000,503000,600000,642500,615000,660000,810000,860000,23,109,7.7,
LARA,327500,335000,350000,340000,348000,355000,430000,515000,495000,535000,685000,765000,28,109,7.7,
LARA LAKE,355000,355000,363500,398000,375000,395000,450500,525000,535500,575000,664500,694500,16,87,6.5,
LAUNCHING PLACE,343500,340000,330000,337500,366000,435000,490000,531000,554000,572500,688500,820000,20,101,7.2,
LAVERTON,340000,320000,325000,358000,377500,429000,535000,579000,529000,560000,605000,607500,8,78,5.9,
LAVERTON SOUTH,400000,390500,392500,425000,450000,528500,610500,646000,622500,647500,725000,807500,12,81,6.1,
LEITCHVILLE,67500,145000,98000,67500,100000,126500,100000,109500,106000,123500,220000,295000,78,226,12.5,
LENEVA,364000,382000,361500,372500,370500,376000,397500,387500,426000,470000,554000,635000,18,52,4.3,
LEONGATHA,282500,289000,300000,295500,305000,305000,320000,360000,370000,426000,505000,540000,19,79,6.0,
LEOPOLD,340000,350000,360000,366500,365000,407000,447000,500500,510000,535000,652000,700000,22,92,6.7,
LILYDALE,456000,420000,469000,482500,534000,633500,710500,705000,675500,718000,850000,851000,18,86,6.4,
LINDENOW,175000,249500,200000,226000,212500,212000,245000,313500,282500,282500,385000,452500,36,120,8.2,
LISMORE,145000,132500,110000,109000,115000,141500,155000,132500,144500,220000,176000,280000,-20,21,2.0,
LOCH,275000,286500,279000,242500,241000,339500,300000,398000,395000,444000,450000,NA,1,64,5.0,
LOCH SPORT,165000,165000,166000,153500,145000,178000,182000,230000,244000,247000,322000,417500,30,95,6.9,
LOCKINGTON,146500,165000,175000,174000,220000,196000,149000,183000,222000,195000,243000,350000,25,66,5.2,
LONG GULLY,220000,220000,230000,255000,244000,240000,256000,269000,280000,299500,385000,503500,28,75,5.8,
LONGWARRY,275000,286500,289500,297500,307000,334000,377000,403000,406000,427500,510000,525000,19,85,6.4,
LORNE,840000,800000,840000,815000,895000,765000,1150000,1275000,1295000,1497500,1830000,1445000,22,118,8.1,
LOVELY BANKS,385500,402000,360500,406500,388500,470000,460000,525000,570000,565000,662500,763000,17,72,5.6,
LOWER PLENTY,587500,615000,680500,675000,770000,900000,980000,1055000,950000,907000,1220000,1558000,34,108,7.6,
LUCAS,-,461000,348000,355000,389000,345000,349500,395000,431000,465000,585000,681500,26,0,NA,
LUCKNOW,247500,200000,235000,229000,230000,244500,261500,280000,275000,314500,355000,300000,13,43,3.7,
LYNBROOK,424500,415000,430000,460000,500000,542500,595000,640000,623000,660000,750000,805000,14,77,5.9,
LYNDHURST,440500,450000,465000,482500,550000,585000,625000,695000,665500,701500,815500,949000,16,85,6.4,
LYSTERFIELD,642500,643500,681500,670000,780000,857500,995500,976500,956500,994500,1130000,1166000,14,76,5.8,
LYSTERFIELD SOUTH,895000,830000,931500,1000000,1018500,1240000,1300000,1275000,775000,1410000,1618000,NA,15,81,6.1,
MACEDON,434500,525000,490000,460000,532500,585000,696000,815000,800000,883000,1130000,950000,28,160,10.0,
MACLEOD,600000,555000,647500,705000,755000,868000,950000,922500,922500,972500,1156500,1590000,19,93,6.8,
MACS COVE,176000,175500,244000,185000,189000,225000,240000,269500,300000,280000,450000,572500,61,156,9.8,
MADDINGLEY,300000,308000,316500,320000,332500,346000,395000,442000,460000,522000,567500,620000,9,89,6.6,
MAFFRA,230000,235000,229000,215000,230000,258000,251500,261500,255000,315000,338000,379000,7,47,3.9,
MAIDEN GULLY,408500,422500,440000,415000,430000,477000,471000,495500,514000,579000,725000,750000,25,78,5.9,
MAIDSTONE,540000,499000,535000,587500,630000,695000,825000,798500,779000,789500,855000,1040000,8,58,4.7,
MALDON,267500,272500,315000,325000,339000,395000,426500,420000,510000,546500,624500,693000,14,133,8.8,
MALLACOOTA,263000,267500,285000,285000,288500,325000,345000,280000,406500,415000,488500,408000,18,86,6.4,
MALMSBURY,300000,332500,292500,317500,397500,344000,447000,465000,475000,505000,735000,745000,45,145,9.4,
MALVERN,1542500,1550000,1508500,1946000,2230000,2332000,2750000,2661000,2570000,2842500,3000000,2460000,6,94,6.9,
MALVERN EAST,1120000,1039000,1200000,1380000,1610000,1729000,1824000,1900000,1787500,1885000,2100500,2410000,11,88,6.5,
MAMBOURIN,-,-,-,-,-,-,-,-,-,-,597500,639000,NA,NA,NA,
MANIFOLD HEIGHTS,449000,425000,532500,489000,489500,620000,721500,785500,715000,825000,924500,934000,12,106,7.5,
MANOR LAKES,360000,345000,340500,360000,385000,417500,490000,526000,533000,570000,597500,661000,5,66,5.2,
MANSFIELD,301500,315000,364000,347000,367500,359000,385000,430000,450000,510000,640000,795000,25,112,7.8,
MARENGO,502500,450000,750000,382500,577500,599000,670000,597500,687500,750000,1075000,1725000,43,114,7.9,
MARIBYRNONG,645000,646000,714000,750500,837500,940000,1056000,1050000,961500,936500,1165000,1125000,24,81,6.1,
MARLO,310000,315000,295000,285000,335500,305000,432500,385000,355000,405000,435000,580000,7,40,3.4,
MARONG,285000,312500,310000,345000,364000,330000,348000,365000,420000,465000,560000,640000,20,96,7.0,
MARSHALL,322500,365000,360000,382500,377000,400000,430000,468000,486500,510000,600000,671000,18,86,6.4,
MARYBOROUGH,180000,184000,194000,200000,192500,206500,194000,229500,236000,269500,337500,390000,25,88,6.5,
MARYSVILLE,395500,145000,180000,125000,320000,332500,383000,477500,462500,475000,670000,980000,41,69,5.4,
MCCRAE,623000,555000,530000,535000,597500,689000,775000,847500,795000,952500,1160000,1040000,22,86,6.4,
MCKENZIE HILL,394000,465000,397000,140000,429500,475000,471500,495000,536500,544500,697500,687500,28,77,5.9,
MCKINNON,925000,944000,1025000,1220000,1500000,1657500,1720000,1555000,1520500,1677500,1895000,2267500,13,105,7.4,
MCLOUGHLINS BEACH,152500,151500,145500,169500,145000,180000,110000,191000,210000,208000,271500,285000,31,78,5.9,
MEADOW HEIGHTS,321500,315000,317000,322500,350500,370000,451000,510000,474000,499000,557000,600000,12,73,5.6,
MEENIYAN,230000,216500,199000,223500,242500,270000,244500,292500,424500,349500,520000,780000,49,126,8.5,
MELTON,256000,250000,245000,240000,255000,280500,369000,415000,385000,390000,455000,496000,17,78,5.9,
MELTON SOUTH,247000,230000,230000,238000,260000,276000,377000,417000,390000,420000,465000,535000,11,88,6.5,
MELTON WEST,300000,283000,285500,290000,295000,330000,409000,453000,428000,470000,515000,550000,10,72,5.6,
MENTONE,692500,665000,705000,810000,950000,982500,1097500,1080000,1031000,1050000,1376000,1228000,31,99,7.1,
MENZIES CREEK,475000,465000,515000,428000,580000,597000,640000,760000,682500,745000,1020000,850000,37,115,7.9,
MERBEIN,157000,142500,140500,167000,180000,170000,183500,180000,210000,203000,227500,295500,12,45,3.8,
MEREDITH,275000,230000,353000,230000,280000,250000,323500,400000,330500,470000,523000,650000,11,90,6.6,
MERINDA PARK,307500,285000,310000,310000,345000,385000,471500,523000,476000,527500,615000,677000,17,100,7.2,
MERNDA,397000,374500,375000,370000,410000,430000,525000,573500,552000,570000,670000,682500,18,69,5.4,
MERRIGUM,185000,150000,160500,149000,209500,164500,160000,190000,270000,179000,255000,248500,42,38,3.3,
MERRIJIG (MANSFIELD),342500,272500,332500,390000,292500,344000,420000,461000,422500,613000,882000,905000,44,158,9.9,
METUNG,267500,350000,337500,287500,299000,360000,347500,371500,455000,485000,517500,625000,7,93,6.8,
MICKLEHAM,-,-,213000,168000,390000,437000,500500,520000,525000,565000,630000,665000,12,NA,NA,
MIDDLE PARK,1345000,1415000,1587500,2125000,2317000,2238500,2370000,2685000,2775000,2680000,2864000,2600000,7,113,7.9,
MILDURA,222000,225000,225500,245000,252000,260000,264000,281500,310000,337000,380000,439500,13,71,5.5,
MILL PARK,410000,405000,408000,430500,480000,560000,668500,657000,653000,690000,755000,805500,9,84,6.3,
MILLGROVE,235000,235000,245000,260000,275000,293500,343000,411000,415000,425000,540000,626000,27,130,8.7,
MINERS REST,339000,325000,330000,327500,335000,334000,370000,400000,427500,440000,530000,655000,20,56,4.6,
MINYIP,82500,81000,73500,95000,93000,82500,94000,81000,114500,75000,151500,144000,102,84,6.3,
MIRBOO NORTH,257000,252000,265000,250000,262000,275000,264000,307500,327500,376000,475000,621000,26,85,6.3,
MITCHAM,595000,584500,650000,730000,885500,941000,1070000,998000,942000,1066500,1212500,1215000,14,104,7.4,
MITCHELL PARK,247500,270000,267000,267500,260000,259000,263000,304500,313000,330000,400000,555000,21,62,4.9,
MOE,165000,165000,155000,170000,162500,173000,175000,200000,210000,250000,315000,335000,26,91,6.7,
MONBULK,392500,380000,395000,425000,471500,521500,608000,650000,630000,650000,766000,790000,18,95,6.9,
MONT ALBERT,1310000,1177500,1316000,1490000,1863000,1921000,2100000,1990000,1690000,2170000,2349000,2675000,8,79,6.0,
