Date, Open, High, Low, Close
08/05/22, 6972.4, 7016.6, 6969.6, 7015.6
08/04/22, 6980.2, 7021.1, 6974.9, 6974.9
08/03/22, 6988.2, 6988.2, 6918.2, 6975.9
08/02/22, 6976.9, 7003.8, 6944.9, 6998.1
08/01/22, 6951.3, 6994.1, 6947.3, 6993.0
07/29/22, 6902.1, 6973.6, 6902.1, 6945.2
07/28/22, 6833.2, 6892.1, 6833.2, 6889.7
07/27/22, 6802.9, 6833.4, 6778.9, 6823.2
07/26/22, 6801.8, 6815.0, 6783.2, 6807.3
07/25/22, 6788.9, 6803.0, 6775.7, 6789.9
07/22/22, 6790.9, 6816.1, 6758.5, 6791.5
07/21/22, 6764.4, 6794.3, 6743.9, 6794.3
07/20/22, 6662.0, 6775.4, 6661.8, 6759.2
07/19/22, 6691.2, 6696.1, 6639.6, 6649.6
07/18/22, 6613.5, 6687.1, 6612.8, 6687.1
07/15/22, 6622.1, 6622.2, 6537.2, 6605.6
07/14/22, 6623.0, 6659.3, 6611.7, 6650.6
07/13/22, 6595.1, 6621.6, 6584.1, 6621.6
07/12/22, 6612.4, 6649.7, 6601.9, 6606.3
07/11/22, 6664.7, 6674.4, 6602.2, 6602.2
07/08/22, 6671.0, 6715.0, 6671.0, 6678.0
07/07/22, 6607.6, 6648.0, 6594.5, 6648.0
07/06/22, 6606.6, 6651.6, 6587.9, 6594.5
07/05/22, 6618.7, 6657.0, 6596.8, 6629.3
07/04/22, 6545.0, 6659.0, 6544.5, 6612.6
07/01/22, 6567.3, 6623.9, 6539.9, 6539.9
06/30/22, 6685.1, 6685.1, 6568.1, 6568.1
06/29/22, 6748.1, 6750.3, 6666.4, 6700.2
06/28/22, 6712.2, 6763.6, 6709.0, 6763.6
06/27/22, 6603.6, 6716.1, 6603.6, 6706.0
06/24/22, 6517.7, 6585.1, 6501.6, 6578.7
06/23/22, 6495.1, 6551.8, 6495.0, 6528.4
06/22/22, 6543.9, 6557.8, 6493.2, 6508.5
06/21/22, 6448.7, 6537.7, 6448.7, 6523.8
06/20/22, 6470.7, 6493.4, 6407.0, 6433.4
06/17/22, 6552.0, 6553.7, 6410.4, 6474.8
06/16/22, 6616.6, 6671.6, 6583.9, 6591.1
06/15/22, 6676.3, 6680.5, 6589.7, 6601.0
06/14/22, 6842.1, 6842.1, 6566.1, 6686.0
06/10/22, 7004.8, 7006.2, 6926.9, 6932.0
06/09/22, 7110.6, 7111.5, 7019.7, 7019.7
06/08/22, 7133.1, 7162.1, 7113.0, 7121.1
06/07/22, 7209.0, 7209.0, 7082.2, 7095.7
06/06/22, 7230.0, 7231.3, 7195.2, 7206.3
06/03/22, 7204.8, 7254.6, 7204.5, 7238.8
06/02/22, 7221.5, 7222.3, 7150.5, 7175.9
06/01/22, 7210.5, 7238.2, 7204.4, 7234.0
05/31/22, 7284.9, 7288.4, 7211.2, 7211.2
05/30/22, 7205.4, 7286.6, 7204.4, 7286.6
05/27/22, 7128.6, 7196.7, 7128.6, 7182.7
05/26/22, 7165.7, 7181.4, 7105.9, 7105.9
05/25/22, 7218.6, 7218.6, 7134.6, 7155.2
05/24/22, 7154.7, 7165.8, 7114.0, 7128.8
05/23/22, 7160.6, 7196.0, 7135.8, 7148.9
05/20/22, 7081.2, 7154.6, 7081.2, 7145.6
05/19/22, 7152.4, 7152.4, 7037.6, 7064.5
05/18/22, 7143.8, 7199.0, 7143.8, 7182.7
05/17/22, 7099.0, 7129.5, 7097.9, 7112.5
05/16/22, 7088.5, 7149.5, 7082.4, 7093.0
05/13/22, 6946.9, 7075.1, 6946.9, 7075.1
05/12/22, 7062.9, 7063.4, 6930.2, 6941.0
05/11/22, 7047.6, 7064.7, 6991.8, 7064.7
05/10/22, 7080.9, 7080.9, 6939.5, 7051.2
05/09/22, 7181.5, 7184.5, 7092.3, 7120.7
05/06/22, 7333.6, 7334.8, 7161.4, 7205.6
05/05/22, 7320.7, 7369.1, 7313.5, 7364.7
05/04/22, 7332.7, 7366.8, 7299.9, 7304.7
05/03/22, 7344.5, 7355.2, 7299.3, 7316.2
05/02/22, 7422.0, 7423.2, 7301.6, 7347.0
04/29/22, 7360.7, 7435.0, 7360.5, 7435.0
04/28/22, 7303.0, 7356.9, 7298.1, 7356.9
04/27/22, 7300.1, 7302.2, 7233.3, 7261.2
04/26/22, 7410.0, 7413.3, 7290.8, 7318.0
04/22/22, 7546.2, 7546.2, 7455.0, 7473.3
04/21/22, 7563.0, 7604.7, 7560.6, 7592.8
04/20/22, 7564.1, 7624.8, 7564.1, 7569.2
04/19/22, 7523.5, 7584.9, 7523.5, 7565.2
04/14/22, 7489.4, 7529.2, 7485.6, 7523.4
04/13/22, 7461.5, 7489.0, 7459.9, 7479.0
04/12/22, 7474.6, 7484.0, 7430.8, 7454.0
04/11/22, 7488.7, 7524.9, 7471.3, 7485.2
04/08/22, 7456.2, 7492.3, 7453.8, 7478.0
04/07/22, 7482.3, 7482.3, 7437.6, 7442.8
04/06/22, 7504.0, 7504.0, 7437.5, 7490.1
04/05/22, 7509.3, 7573.4, 7509.3, 7527.9
04/04/22, 7508.0, 7536.8, 7508.0, 7513.7
04/01/22, 7509.7, 7514.0, 7476.7, 7493.8
03/31/22, 7549.4, 7556.6, 7499.6, 7499.6
03/30/22, 7468.3, 7533.1, 7468.3, 7514.5
03/29/22, 7409.9, 7480.9, 7409.9, 7464.3
03/28/22, 7417.8, 7446.7, 7412.4, 7412.4
03/25/22, 7398.7, 7431.3, 7394.1, 7406.2
03/24/22, 7377.5, 7399.4, 7356.2, 7387.1
03/23/22, 7330.0, 7386.9, 7329.8, 7377.9
03/22/22, 7313.4, 7377.3, 7312.1, 7341.1
03/21/22, 7303.1, 7350.4, 7278.5, 7278.5
03/18/22, 7260.0, 7294.4, 7245.9, 7294.4
03/17/22, 7204.5, 7296.8, 7203.9, 7250.8
